date;ili_cases;resp_admissions;otc_sales_index;flu_vaccine_campaign;holiday;day_of_week;month;year;trend
2013-01-01;94;34;196;0;0;Tuesday;1;2013;1,01870958447147
2013-01-02;115;22;316;0;0;Wednesday;1;2013;1,01806260275751
2013-01-03;195;35;414;0;0;Thursday;1;2013;1,02669388687088
2013-01-04;258;38;455;0;0;Friday;1;2013;1,03802251292049
2013-01-05;298;31;562;0;0;Saturday;1;2013;1,04706519615190
2013-01-06;365;28;652;0;0;Sunday;1;2013;1,05100395099098
2013-01-07;405;27;698;0;0;Monday;1;2013;1,07111917096537
2013-01-08;454;43;810;0;0;Tuesday;1;2013;1,07517258058124
2013-01-09;484;32;915;0;0;Wednesday;1;2013;1,10035681772001
2013-01-10;543;34;948;0;0;Thursday;1;2013;1,10472967672949
2013-01-11;569;70;1003;0;0;Friday;1;2013;1,12277837327172
2013-01-12;601;78;1121;0;0;Saturday;1;2013;1,15064482719874
2013-01-13;638;100;1126;0;0;Sunday;1;2013;1,14175622018761
2013-01-14;662;165;1186;0;0;Monday;1;2013;1,14396833251944
2013-01-15;686;167;1230;0;0;Tuesday;1;2013;1,14763511915550
2013-01-16;724;184;1272;0;0;Wednesday;1;2013;1,15899462313620
2013-01-17;741;200;1331;0;0;Thursday;1;2013;1,16115209392204
2013-01-18;758;210;1326;0;0;Friday;1;2013;1,13958753971299
2013-01-19;770;175;1312;0;0;Saturday;1;2013;1,12018287042724
2013-01-20;771;194;1396;0;0;Sunday;1;2013;1,13838400388454
2013-01-21;821;250;1392;0;0;Monday;1;2013;1,14031761794376
2013-01-22;817;257;1445;0;0;Tuesday;1;2013;1,12750453360396
2013-01-23;834;263;1444;0;0;Wednesday;1;2013;1,13078536004636
2013-01-24;853;297;1494;0;0;Thursday;1;2013;1,14793210703809
2013-01-25;860;311;1476;0;0;Friday;1;2013;1,17188404165074
2013-01-26;850;255;1510;0;0;Saturday;1;2013;1,17257935033467
2013-01-27;884;258;1610;0;0;Sunday;1;2013;1,17500665650698
2013-01-28;902;323;1583;0;0;Monday;1;2013;1,16237502565504
2013-01-29;913;355;1631;0;0;Tuesday;1;2013;1,17197599920335
2013-01-30;921;334;1646;0;0;Wednesday;1;2013;1,17057605044375
2013-01-31;926;342;1714;0;0;Thursday;1;2013;1,18013055167616
2013-02-01;974;351;1716;0;0;Friday;2;2013;1,19217892504845
2013-02-02;973;304;1802;0;0;Saturday;2;2013;1,20752996026815
2013-02-03;991;289;1806;0;0;Sunday;2;2013;1,20644069651408
2013-02-04;1005;366;1833;0;0;Monday;2;2013;1,21649024774705
2013-02-05;1012;382;1924;0;0;Tuesday;2;2013;1,20432016095632
2013-02-06;1061;381;1900;0;0;Wednesday;2;2013;1,20147557087253
2013-02-07;1056;388;1912;0;0;Thursday;2;2013;1,19796649493076
2013-02-08;1050;377;1867;0;0;Friday;2;2013;1,17882441843130
2013-02-09;1067;322;1930;0;0;Saturday;2;2013;1,18418564450022
2013-02-10;1089;331;1972;0;0;Sunday;2;2013;1,19124563050222
2013-02-11;1075;402;1961;0;0;Monday;2;2013;1,19263505751673
2013-02-12;1116;413;1981;0;0;Tuesday;2;2013;1,20521668987373
2013-02-13;1115;425;2004;0;0;Wednesday;2;2013;1,20294964160296
2013-02-14;1119;434;2033;0;0;Thursday;2;2013;1,19426683115877
2013-02-15;1139;445;2030;0;0;Friday;2;2013;1,20359501141766
2013-02-16;1118;367;2043;0;0;Saturday;2;2013;1,20048107965579
2013-02-17;1156;362;2116;0;0;Sunday;2;2013;1,21992209227300
2013-02-18;1143;461;2108;0;0;Monday;2;2013;1,22060763024687
2013-02-19;1143;443;2120;0;0;Tuesday;2;2013;1,23216410908089
2013-02-20;1146;488;2141;0;0;Wednesday;2;2013;1,24038336173293
2013-02-21;1156;470;2121;0;0;Thursday;2;2013;1,23754497232413
2013-02-22;1151;492;2129;0;0;Friday;2;2013;1,25830224752205
2013-02-23;1129;407;2246;0;0;Saturday;2;2013;1,26973124057922
2013-02-24;1154;387;2254;0;0;Sunday;2;2013;1,27562884704522
2013-02-25;1175;534;2279;0;0;Monday;2;2013;1,28339435451813
2013-02-26;1181;510;2277;0;0;Tuesday;2;2013;1,29518724267868
2013-02-27;1200;527;2390;0;0;Wednesday;2;2013;1,30108557154447
2013-02-28;1217;506;2298;0;0;Thursday;2;2013;1,27615467071294
2013-03-01;1208;508;2403;0;0;Friday;3;2013;1,28400350024825
2013-03-02;1248;408;2372;0;0;Saturday;3;2013;1,28533115382084
2013-03-03;1232;408;2406;0;0;Sunday;3;2013;1,29218345946950
2013-03-04;1249;524;2535;0;0;Monday;3;2013;1,30300169674315
2013-03-05;1283;545;2578;0;0;Tuesday;3;2013;1,32199906501608
2013-03-06;1285;553;2559;0;0;Wednesday;3;2013;1,31972614442134
2013-03-07;1295;553;2549;0;0;Thursday;3;2013;1,33775157074178
2013-03-08;1286;560;2576;0;0;Friday;3;2013;1,34611005193930
2013-03-09;1285;457;2687;0;0;Saturday;3;2013;1,36149511292627
2013-03-10;1292;471;2650;0;0;Sunday;3;2013;1,37570239860918
2013-03-11;1299;596;2785;0;0;Monday;3;2013;1,38791118023785
2013-03-12;1337;607;2738;0;0;Tuesday;3;2013;1,38247999085217
2013-03-13;1329;617;2735;0;0;Wednesday;3;2013;1,38657812698606
2013-03-14;1328;623;2850;0;0;Thursday;3;2013;1,39781330860606
2013-03-15;1352;614;2851;0;0;Friday;3;2013;1,39327807502834
2013-03-16;1359;502;2861;0;0;Saturday;3;2013;1,39284978688260
2013-03-17;1370;502;2983;0;0;Sunday;3;2013;1,40365975185941
2013-03-18;1401;646;3021;0;0;Monday;3;2013;1,41634153923776
2013-03-19;1418;650;3085;0;0;Tuesday;3;2013;1,42597921512316
2013-03-20;1439;678;3097;0;0;Wednesday;3;2013;1,42212145214906
2013-03-21;1434;642;3099;0;0;Thursday;3;2013;1,41612364316259
2013-03-22;1441;674;3059;0;0;Friday;3;2013;1,43625071326063
2013-03-23;1446;544;3100;0;0;Saturday;3;2013;1,44382992763596
2013-03-24;1441;544;3143;0;0;Sunday;3;2013;1,44971432992755
2013-03-25;1434;692;3197;0;0;Monday;3;2013;1,45350536455216
2013-03-26;1452;708;3146;0;0;Tuesday;3;2013;1,44656207560055
2013-03-27;1453;717;3242;0;0;Wednesday;3;2013;1,45768204458096
2013-03-28;1462;739;3277;0;0;Thursday;3;2013;1,46051064612349
2013-03-29;1486;720;3248;0;0;Friday;3;2013;1,46368307906017
2013-03-30;1476;596;3369;0;0;Saturday;3;2013;1,47801654234589
2013-03-31;1519;606;3390;0;0;Sunday;3;2013;1,49123427345097
2013-04-01;1507;779;3434;0;0;Monday;4;2013;1,51015543721031
2013-04-02;1531;765;3424;0;0;Tuesday;4;2013;1,51039369797976
2013-04-03;1515;761;3469;0;0;Wednesday;4;2013;1,52189718358703
2013-04-04;1535;773;3507;0;0;Thursday;4;2013;1,54080828815093
2013-04-05;1526;783;3516;0;0;Friday;4;2013;1,53470039935645
2013-04-06;1527;639;3512;0;0;Saturday;4;2013;1,53109247348767
2013-04-07;1516;636;3477;0;0;Sunday;4;2013;1,52477508667913
2013-04-08;1527;812;3522;0;0;Monday;4;2013;1,51518294668411
2013-04-09;1543;801;3508;0;0;Tuesday;4;2013;1,52098277221652
2013-04-10;1542;836;3580;0;0;Wednesday;4;2013;1,53251481561301
2013-04-11;1547;815;3611;0;0;Thursday;4;2013;1,54952446936900
2013-04-12;1549;841;3678;0;0;Friday;4;2013;1,56497198024067
2013-04-13;1568;666;3685;0;0;Saturday;4;2013;1,55993989377228
2013-04-14;1587;671;3701;0;0;Sunday;4;2013;1,58342471278900
2013-04-15;1555;837;3745;0;0;Monday;4;2013;1,58175697870142
2013-04-16;1568;857;3725;0;0;Tuesday;4;2013;1,58781211682599
2013-04-17;1586;865;3806;0;0;Wednesday;4;2013;1,58858955800730
2013-04-18;1611;849;3854;0;0;Thursday;4;2013;1,59236605628775
2013-04-19;1618;868;3934;0;0;Friday;4;2013;1,59924798663276
2013-04-20;1619;699;3920;0;0;Saturday;4;2013;1,60543959621273
2013-04-21;1633;715;3943;0;0;Sunday;4;2013;1,61018867070406
2013-04-22;1636;892;3992;0;0;Monday;4;2013;1,61626939798348
2013-04-23;1647;883;4027;0;0;Tuesday;4;2013;1,61641504562501
2013-04-24;1653;887;4040;0;0;Wednesday;4;2013;1,61637287431813
2013-04-25;1674;879;4019;0;0;Thursday;4;2013;1,60476188351898
2013-04-26;1670;903;3978;0;0;Friday;4;2013;1,60593854625025
2013-04-27;1663;727;4090;0;0;Saturday;4;2013;1,60581204367147
2013-04-28;1682;745;4111;0;0;Sunday;4;2013;1,63783095367492
2013-04-29;1663;948;4080;0;0;Monday;4;2013;1,62920979136302
2013-04-30;1665;947;3993;0;0;Tuesday;4;2013;1,63558235354861
2013-05-01;1627;944;3998;0;0;Wednesday;5;2013;1,62564610287544
2013-05-02;1642;931;3985;0;0;Thursday;5;2013;1,61594174546107
2013-05-03;1647;949;3954;0;0;Friday;5;2013;1,62218876932304
2013-05-04;1618;756;4029;0;0;Saturday;5;2013;1,61722237797420
2013-05-05;1667;758;3985;0;0;Sunday;5;2013;1,62220415183116
2013-05-06;1634;947;3974;0;0;Monday;5;2013;1,62292156301690
2013-05-07;1624;948;3971;0;0;Tuesday;5;2013;1,62178484695240
2013-05-08;1620;928;3922;0;0;Wednesday;5;2013;1,60653806849821
2013-05-09;1623;929;3867;0;0;Thursday;5;2013;1,59929058899461
2013-05-10;1612;921;3892;0;0;Friday;5;2013;1,60608575340579
2013-05-11;1622;743;3884;0;0;Saturday;5;2013;1,61676195935003
2013-05-12;1603;733;3909;0;0;Sunday;5;2013;1,61683318581449
2013-05-13;1619;938;3963;0;0;Monday;5;2013;1,62183381465515
2013-05-14;1615;937;4048;0;0;Tuesday;5;2013;1,63806271108895
2013-05-15;1645;935;4078;0;0;Wednesday;5;2013;1,65746126851871
2013-05-16;1638;929;4093;0;0;Thursday;5;2013;1,65149013083465
2013-05-17;1636;940;4107;0;0;Friday;5;2013;1,65531693523215
2013-05-18;1636;757;4107;0;0;Saturday;5;2013;1,67233191924135
